number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	use_sensors: true
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 50
	differential_equation: separated
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	set_principle_diagonal_elements_of_W_negative: true
	alpha: 0.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 112
Free Parameters: 3100
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
1       -330.0f0      -56.964287f0  140.0f0       -86.0f0       7 seconds297 milliseconds
2       -275.0f0      -45.223213f0  235.0f0       -70.0f0       1 second955 milliseconds
3       -515.0f0      -70.26786f0   220.0f0       -7.0f0        1 second878 milliseconds
4       -380.0f0      -53.839287f0  150.0f0       -7.0f0        1 second888 milliseconds
5       -545.0f0      -42.767857f0  225.0f0       -7.0f0        1 second862 milliseconds
6       -315.0f0      -55.80357f0   215.0f0       -7.0f0        1 second886 milliseconds
7       -390.0f0      -44.017857f0  230.0f0       -7.0f0        1 second898 milliseconds
8       -380.0f0      -50.9375f0    355.0f0       -7.0f0        1 second885 milliseconds
9       -360.0f0      -38.392857f0  210.0f0       -7.0f0        1 second876 milliseconds
10      -380.0f0      -69.41964f0   190.0f0       -7.0f0        1 second888 milliseconds
11      -300.0f0      -32.901787f0  225.0f0       -7.0f0        1 second880 milliseconds
12      -320.0f0      -51.651787f0  205.0f0       -7.0f0        1 second872 milliseconds
13      -365.0f0      -43.4375f0    330.0f0       -7.0f0        1 second874 milliseconds
14      -310.0f0      -41.026787f0  230.0f0       -7.0f0        1 second902 milliseconds
15      -355.0f0      -42.00893f0   205.0f0       -7.0f0        1 second874 milliseconds
16      -360.0f0      -51.339287f0  175.0f0       -7.0f0        1 second885 milliseconds
17      -515.0f0      -32.63393f0   195.0f0       -7.0f0        1 second868 milliseconds
18      -470.0f0      -54.151787f0  205.0f0       11.0f0        1 second900 milliseconds
19      -375.0f0      -41.160713f0  205.0f0       11.0f0        1 second884 milliseconds
20      -330.0f0      -38.57143f0   250.0f0       20.0f0        1 second882 milliseconds
21      -300.0f0      -31.071428f0  180.0f0       20.0f0        1 second891 milliseconds
22      -295.0f0      -42.455357f0  235.0f0       20.0f0        1 second872 milliseconds
23      -275.0f0      -21.696428f0  245.0f0       20.0f0        1 second898 milliseconds
24      -505.0f0      -42.5f0       455.0f0       20.0f0        1 second896 milliseconds
25      -520.0f0      -24.866072f0  240.0f0       148.0f0       1 second888 milliseconds
26      -530.0f0      -38.25893f0   235.0f0       148.0f0       1 second891 milliseconds
27      -395.0f0      -35.75893f0   255.0f0       148.0f0       1 second885 milliseconds
28      -345.0f0      -29.196428f0  245.0f0       148.0f0       1 second891 milliseconds
29      -360.0f0      -43.526787f0  225.0f0       148.0f0       1 second891 milliseconds
30      -365.0f0      -36.42857f0   210.0f0       148.0f0       1 second919 milliseconds
31      -290.0f0      -35.17857f0   250.0f0       148.0f0       1 second894 milliseconds
32      -280.0f0      -49.0625f0    190.0f0       148.0f0       1 second909 milliseconds
33      -320.0f0      -42.5f0       145.0f0       148.0f0       1 second899 milliseconds
34      -365.0f0      -24.464285f0  210.0f0       148.0f0       1 second914 milliseconds
35      -290.0f0      -33.75f0      245.0f0       148.0f0       1 second907 milliseconds
