number_generations: 2500
number_validation_runs: 100
number_rounds: 20
maximum_env_seed: 100000
environment
	type: CollectPoints
	maze_columns: 5
	maze_rows: 5
	maze_cell_size: 80
	agent_radius: 12
	point_radius: 8
	agent_movement_range: 10.0
	use_sensors: true
	reward_per_collected_positive_point: 500.0
	reward_per_collected_negative_point: -700.0
	number_time_steps: 1000
brain
	type: CTRNN
	delta_t: 0.05
	number_neurons: 50
	differential_equation: NaturalNet
	clipping_range_min: -1.0
	clipping_range_max: 1.0
	set_principle_diagonal_elements_of_W_negative: true
	alpha: 0.0
optimizer
	type: CMA-ES-Deap
	population_size: 112
	sigma: 1.0

Genome Size: 112
Free Parameters: 3100
Inputs: 10
Outputs: 2

------------------------------------------------------------------------------------------
gen     min           mean          max           best          elapsed time (s)
------------------------------------------------------------------------------------------
1       -345.0f0      -43.660713f0  160.0f0       -50.0f0       9 seconds758 milliseconds
2       -435.0f0      -42.5f0       480.0f0       -50.0f0       1 second35 milliseconds
3       -375.0f0      -43.125f0     150.0f0       -50.0f0       1 second107 milliseconds
4       -460.0f0      -55.580357f0  225.0f0       -50.0f0       1 second105 milliseconds
5       -450.0f0      -50.357143f0  150.0f0       -21.0f0       0 seconds994 milliseconds
6       -295.0f0      -49.82143f0   200.0f0       -21.0f0       1 second95 milliseconds
7       -290.0f0      -51.205357f0  180.0f0       -21.0f0       1 second6 milliseconds
8       -500.0f0      -49.419643f0  190.0f0       -21.0f0       1 second83 milliseconds
9       -370.0f0      -30.0f0       295.0f0       -21.0f0       0 seconds989 milliseconds
10      -560.0f0      -80.75893f0   190.0f0       -21.0f0       1 second95 milliseconds
11      -420.0f0      -54.642857f0  230.0f0       -21.0f0       1 second1 millisecond
12      -250.0f0      -33.4375f0    180.0f0       -21.0f0       1 second63 milliseconds
13      -305.0f0      -40.714287f0  200.0f0       -21.0f0       1 second92 milliseconds
14      -345.0f0      -49.910713f0  150.0f0       -21.0f0       1 second10 milliseconds
15      -310.0f0      -47.723213f0  180.0f0       4.0f0         1 second94 milliseconds
16      -310.0f0      -50.892857f0  205.0f0       4.0f0         1 second74 milliseconds
17      -400.0f0      -59.55357f0   225.0f0       4.0f0         0 seconds996 milliseconds
18      -350.0f0      -46.607143f0  215.0f0       4.0f0         1 second89 milliseconds
19      -495.0f0      -42.36607f0   195.0f0       4.0f0         0 seconds984 milliseconds
20      -425.0f0      -45.535713f0  210.0f0       72.0f0        1 second86 milliseconds
21      -330.0f0      -45.13393f0   205.0f0       72.0f0        1 second23 milliseconds
22      -345.0f0      -51.160713f0  195.0f0       72.0f0        1 second103 milliseconds
23      -450.0f0      -56.160713f0  220.0f0       72.0f0        1 second94 milliseconds
24      -345.0f0      -37.36607f0   275.0f0       72.0f0        0 seconds995 milliseconds
25      -320.0f0      -24.0625f0    195.0f0       72.0f0        1 second81 milliseconds
26      -370.0f0      -46.473213f0  200.0f0       72.0f0        0 seconds983 milliseconds
27      -395.0f0      -39.0625f0    155.0f0       72.0f0        1 second95 milliseconds
28      -330.0f0      -48.794643f0  295.0f0       72.0f0        1 second18 milliseconds
